source,target
main,setlocale
main,setlocale
main,bindtextdomain
main,textdomain
main,xmalloc_set_program_name
xmalloc_set_program_name,sbrk
main,bfd_set_error_program_name
main,expandargv
main,bfd_init
main,set_default_bfd_target
set_default_bfd_target,bfd_set_default_target
bfd_set_default_target,strcmp
bfd_set_default_target,find_target
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,strcmp
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
find_target,fnmatch
main,getopt_long
main,display_file
display_file,get_file_size
get_file_size,stat
display_file,bfd_openr
bfd_openr,bfd_fopen
bfd_fopen,_bfd_new_bfd
_bfd_new_bfd,bfd_zmalloc
bfd_zmalloc,bfd_malloc
bfd_malloc,malloc
_bfd_new_bfd,objalloc_create
objalloc_create,malloc
objalloc_create,malloc
_bfd_new_bfd,bfd_hash_table_init_n
bfd_hash_table_init_n,objalloc_create
objalloc_create,malloc
objalloc_create,malloc
bfd_fopen,bfd_find_target
bfd_find_target,getenv
bfd_fopen,_bfd_real_fopen
_bfd_real_fopen,fopen64
_bfd_real_fopen,close_on_exec
close_on_exec,fileno
close_on_exec,fcntl
close_on_exec,fcntl
bfd_fopen,bfd_strdup
bfd_strdup,strlen
bfd_strdup,bfd_malloc
bfd_malloc,malloc
bfd_fopen,bfd_cache_init
bfd_cache_init,bfd_cache_max_open
bfd_cache_max_open,getrlimit
bfd_cache_init,insert
bfd_fopen,bfd_set_cacheable
display_file,bfd_check_format
bfd_check_format,bfd_check_format_matches
bfd_check_format_matches,bfd_preserve_save
bfd_preserve_save,bfd_alloc
bfd_preserve_save,bfd_hash_table_init
bfd_hash_table_init,bfd_hash_table_init_n
bfd_hash_table_init_n,objalloc_create
objalloc_create,malloc
objalloc_create,malloc
bfd_hash_table_init_n,_objalloc_alloc
_objalloc_alloc,malloc
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_is_thin_archive
bfd_generic_archive_p,bfd_set_error
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_is_thin_archive
bfd_generic_archive_p,bfd_set_error
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_is_thin_archive
bfd_generic_archive_p,bfd_set_error
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_is_thin_archive
bfd_generic_archive_p,bfd_set_error
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_is_thin_archive
bfd_generic_archive_p,bfd_set_error
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_is_thin_archive
bfd_generic_archive_p,bfd_set_error
bfd_check_format_matches,bfd_reinit
bfd_reinit,bfd_section_list_clear
bfd_check_format_matches,bfd_release
bfd_release,objalloc_free_block
bfd_check_format_matches,bfd_alloc
bfd_check_format_matches,bfd_seek
cache_bseek,_bfd_real_fseek
_bfd_real_fseek,fseeko64
bfd_generic_archive_p,bfd_bread
cache_bread,cache_bread_1
cache_bread_1,fread
bfd_generic_archive_p,strncmp
bfd_generic_archive_p,bfd_set_thin_archive
