source,target
main,setlocale
main,setlocale
main,bindtextdomain
main,textdomain
main,expandargv
main,parse_args
parse_args,getopt_long
parse_args,getopt_long
main,process_file
process_file,stat
process_file,calloc
process_file,fopen
process_file,fread
process_file,memcmp
process_file,memcmp
process_file,rewind
process_file,process_object
process_object,get_file_header
get_file_header,fread
get_file_header,fread
get_file_header,get_32bit_section_headers
get_32bit_section_headers,get_data
get_data,fseek
get_data,malloc
get_data,fread
get_32bit_section_headers,free
get_32bit_section_headers,cmalloc
cmalloc,xmalloc
xmalloc,malloc
get_32bit_section_headers,free
process_object,process_file_header
process_file_header,init_dwarf_regnames_by_elf_machine_code
init_dwarf_regnames_by_elf_machine_code,init_dwarf_regnames_i386
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,printf
process_file_header,dcgettext
process_file_header,get_elf_class
process_file_header,printf
process_file_header,dcgettext
process_file_header,get_data_encoding
get_data_encoding,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,get_osabi_name
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,get_file_type
get_file_type,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,get_machine_name
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,print_vma
print_vma,printf
print_vma,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,print_vma
print_vma,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,print_vma
print_vma,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,get_machine_flags
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,_IO_putc
process_file_header,dcgettext
process_file_header,printf
process_file_header,dcgettext
process_file_header,printf
process_file_header,_IO_putc
process_file_header,dcgettext
process_file_header,printf
process_file_header,_IO_putc
process_file_header,free
process_object,process_section_headers
process_section_headers,get_32bit_section_headers
get_32bit_section_headers,dcgettext
get_32bit_section_headers,get_data
get_data,fseek
get_data,malloc
get_data,fread
get_32bit_section_headers,free
get_32bit_section_headers,cmalloc
cmalloc,xmalloc
xmalloc,malloc
get_32bit_section_headers,free
process_section_headers,dcgettext
process_section_headers,get_data
get_data,fseek
get_data,malloc
get_data,fread
process_section_headers,get_32bit_elf_symbols
get_32bit_elf_symbols,dcgettext
get_32bit_elf_symbols,get_data
get_data,fseek
get_data,malloc
get_data,fread
get_32bit_elf_symbols,cmalloc
cmalloc,xmalloc
xmalloc,malloc
get_32bit_elf_symbols,free
get_32bit_elf_symbols,free
process_section_headers,strcmp
process_section_headers,dcgettext
process_section_headers,get_data
get_data,fseek
get_data,malloc
get_data,fread
process_section_headers,dcgettext
process_section_headers,strcmp
process_section_headers,strcmp
process_section_headers,dcgettext
process_section_headers,printf
process_section_headers,dcgettext
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,printf
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,printf
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,printf
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,printf
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,printf
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,printf
process_section_headers,get_section_type_name
process_section_headers,printf
process_section_headers,print_vma
print_vma,printf
process_section_headers,printf
process_section_headers,get_elf_section_flags
process_section_headers,printf
process_section_headers,printf
process_section_headers,printf
process_section_headers,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
