source,target
main,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
main,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
bar,bar
bar,foo
